ScientificName,order,family,CommonName,GPT4_Desc,Expert Annotation
Bombus sonorus,Hymenoptera,Apidae,sonoran bumble bee,"['bombus sonorus, also known as the sonoran bumblebee, is a species of bumblebee native to north america. here are some morphological identifying features of bombus sonorus:', '1. size: bombus sonorus is a relatively large bumblebee, with queens measuring 20-23 mm in length, and workers measuring 14-18 mm.', '2. coloration: the sonoran bumblebee has a distinctive color pattern. its head and thorax are covered with black hairs, while the abdomen has yellow hairs on the first two segments (t1 and t2) and black hairs on the remaining segments (t3-t6). the males have a similar pattern but may have some yellow hairs intermixed with black hairs on the abdomen.', '3. hair: the hairs on bombus sonorus are relatively long and even, giving the bee a somewhat ""shaggy"" appearance.', '4. wings: the wings of bombus sonorus are relatively long and dark in color, with a smoky or brownish tint.', '5. mandibles: the mandibles of bombus sonorus queens and workers are relatively short and stout, with a tooth-like projection on the inner edge.', '6. male genitalia: the male genitalia of bombus sonorus are distinctive, with a long, slender penis valve and a short, broad gonostylus.', '7. pollen basket: like other bumblebees, bombus sonorus has a pollen basket (corbicula) on its hind legs, which is used to collect and transport pollen.', 'overall, the size, color pattern, and other morphological features of bombus sonorus make it relatively easy to identify compared to other bumblebee species. however, it can be confused with other similar-looking species, such as bombus fervidus and bombus pensylvanicus, so careful examination of the features mentioned above is necessary for accurate identification.']",Fuzzy yellow and black. Black wings
Nola cereella,Lepidoptera,Nolidae,Sorghum Webworm,"['nola cereella, also known as the lesser nola or the sallow kitten, is a moth species belonging to the family nolidae. here are some morphological identifying features of nola cereella:', '1. size: nola cereella has a wingspan of about 20-30 mm, making it a small to medium-sized moth.', '2. coloration: the forewings of nola cereella are typically greyish-brown or pale brown with darker markings. the hindwings are paler with a greyish-white color and a darker border.', '3. wing pattern: the forewings have a distinct pattern, which includes a dark central spot or blotch, a dark wavy line running from the leading edge to the trailing edge, and a dark crescent-shaped mark near the apex. the hindwings have a faint pattern with a darker border.', '4. antennae: the antennae of nola cereella are filiform (thread-like) and relatively short compared to other moth species.', '5. body: the body of nola cereella is slender and covered in scales, with the thorax and abdomen being greyish-brown in color.', '6. legs: the legs of nola cereella are relatively short and covered in scales, with the tibiae and tarsi being greyish-brown in color.', '7. sexual dimorphism: the males and females of nola cereella are similar in appearance, but the males are generally smaller and have more slender antennae.', '8. larvae: the larvae of nola cereella are greenish-grey or yellowish-green with a pale lateral line and small black spots on the body. the head is brownish with black markings.', 'to identify nola cereella, it is essential to examine the combination of these morphological features, as some may be similar to other moth species.']",light brown caterpillar. two dark brown stripes along back. spike hairs
Herpetogramma bipunctalis,Lepidoptera,Crambidae,southern beet webworm moth,"['herpetogramma bipunctalis, also known as the two-spotted herpetogramma moth, is a species of moth in the family crambidae. here are some morphological identifying features of herpetogramma bipunctalis:', '1. wingspan: the moth has a wingspan of about 20-30 mm, making it a relatively small-sized moth.', '2. coloration: the forewings of herpetogramma bipunctalis are usually pale brown or grayish-brown, with a variable pattern of darker brown or black markings. the hindwings are paler, often with a similar pattern of markings.', '3. antemedian and postmedian lines: the forewings have two distinct wavy lines, known as the antemedian and postmedian lines, that run from the costa (leading edge) to the dorsum (trailing edge) of the wing. these lines are often bordered by a thin, pale line.', '4. discal spots: the forewings have two small, black discal spots, which give the species its common name, ""two-spotted herpetogramma moth."" these spots are usually found near the middle of the wing, between the antemedian and postmedian lines.', '5. fringe: both the forewings and hindwings have a fringe of long, hair-like scales along their outer margins, which can be pale or dark in color.', '6. body: the body of herpetogramma bipunctalis is slender and covered with scales that are similar in color to the wings. the head is usually covered with a tuft of scales, and the antennae are long and thin.', '7. male genitalia: in males, the genitalia are characterized by a large, curved, and bifurcated uncus (a hook-like structure at the tip of the abdomen), and a well-developed gnathos (a structure that supports the uncus).', '8. female genitalia: in females, the genitalia are characterized by a sclerotized ductus bursae (a hardened tube that connects the bursa copulatrix to the genital opening) and a rounded corpus bursae (a sac-like structure that stores sperm).', 'these morphological features can be used to identify herpetogramma bipunctalis from other similar moth species. however, it is important to note that there can be some variation in color and pattern among individuals, so a combination of features is often necessary for accurate identification.']",Light brown moth with black spots.
Nezara viridula,Hemiptera,Pentatomidae,Southern Green Stink Bug,"['nezara viridula, commonly known as the southern green stink bug or green vegetable bug, is a species of stink bug in the family pentatomidae. here are some morphological identifying features of nezara viridula:', '1. color: adult nezara viridula is bright green in color, which helps them blend in with the plants they inhabit.', '2. size: adult green stink bugs are typically 12-19 millimeters in length, with females being slightly larger than males.', '3. shape: the body of nezara viridula is shield-shaped, with a broad, rounded posterior end and a narrower anterior end.', '4. antennae: the antennae of nezara viridula are long, thin, and segmented, with five segments in total. the segments are alternating light and dark in color.', '5. wings: adult green stink bugs possess fully developed wings, which are folded flat over their backs when not in use. the wings are typically green, but may have a yellow or brownish tinge, especially near the edges.', '6. pronotum: the pronotum (the plate-like structure that covers the thorax) is broad and triangular, with a distinct point on each side.', '7. eyes: nezara viridula has large, compound eyes that are reddish-brown in color.', '8. legs: the legs of nezara viridula are long and slender, with a green color that matches the rest of the body. the tips of the legs may be slightly darker in color.', '9. nymphs: the nymphs (juveniles) of nezara viridula go through five instars before reaching adulthood. the first instar nymphs are small, oval-shaped, and orange or red in color. as they grow and molt, the nymphs become more green in color, eventually resembling the adults.', '10. scent glands: like other stink bugs, nezara viridula possesses scent glands that produce a foul-smelling substance when the bug feels threatened. these glands are located on the underside of the thorax, near the base of the legs.']",Predominantly green bug with triangular head. 
Chortophaga australior,Orthoptera,Acrididae,southern green-striped grasshopper,"['chortophaga australior, commonly known as the southern green-striped grasshopper, is a species of grasshopper belonging to the family acrididae. here are some morphological identifying features of chortophaga australior:', '1. size: the adult southern green-striped grasshopper has a body length of 20-35 mm for males and 28-42 mm for females.', '2. coloration: the most distinctive feature of chortophaga australior is its green coloration. the dorsal side of the body is usually green, while the ventral side is pale or yellowish. the green coloration helps these grasshoppers blend in with their grassy habitats. some individuals may also have a brownish or reddish coloration.', '3. stripes: chortophaga australior has a characteristic green or brown stripe running from the eyes to the end of the wings. this stripe is bordered by a pale or white line on the lower edge.', '4. wings: the wings of chortophaga australior are relatively short and do not extend beyond the end of the abdomen. the forewings are narrow and tapering, while the hindwings are broad and membranous.', '5. pronotum: the pronotum, or the dorsal plate covering the thorax, is relatively short and has a rounded shape. the lateral lobes of the pronotum have a distinct notch at the posterior margin.', '6. legs: the hind legs of chortophaga australior are adapted for jumping, with enlarged femora and tibiae. the tibiae have several spines along their length, which help the grasshopper grip on vegetation.', '7. antennae: the antennae of chortophaga australior are relatively short and filiform (thread-like).', '8. sexual dimorphism: male and female southern green-striped grasshoppers can be differentiated by their size, with females being larger than males. additionally, the subgenital plate in males is triangular and pointed, while in females, it is rounded and notched.', 'these morphological features can help identify chortophaga australior in the field. however, it is essential to note that some features may vary among individuals, and a combination of characteristics should be used for accurate identification.']",Grasshopper. Long green body. Yellow eyes. Brown wings.
Lestes australis,Odonata,Lestidae,southern spreadwing,"['lestes australis, commonly known as the southern spreadwing or the southern emerald damselfly, is a species of damselfly in the family lestidae. here are some morphological identifying features of lestes australis:', '1. size: lestes australis has a body length of about 1.4 to 1.8 inches (35-45 mm).', '2. coloration: the adult males have a metallic green body with a hint of blue or bronze, while females are usually metallic green or brownish-green. both sexes have pale yellow or white markings along the sides of the thorax and abdomen.', '3. wings: the wings of lestes australis are mostly clear, with a slight amber tint at the base. they are held open at a 45-degree angle when at rest, giving them the ""spreadwing"" appearance. the pterostigma (colored cells near the wingtips) are elongated and dark brown.', '4. eyes: the compound eyes of lestes australis are large and widely separated. males usually have blue or green eyes, while females have brownish-green eyes.', '5. appendages: males have a pair of superior anal appendages (cerci) that are long and slightly curved, with a small downward-pointing hook at the tip. the inferior appendage (paraproct) is shorter and broader, with a rounded tip. in females, the ovipositor (egg-laying organ) is long and slender, extending beyond the tip of the abdomen.', '6. thorax: the thorax of lestes australis is metallic green, with pale yellow or white stripes on the sides.', '7. abdomen: the abdomen is slender and metallic green, with pale yellow or white markings on the sides. the tip of the abdomen in males is slightly swollen, while in females, it is more pointed.', '8. legs: the legs of lestes australis are long and slender, with black and pale yellow or white bands.', '9. habitat: lestes australis is usually found near slow-moving or still water bodies like ponds, marshes, and ditches, where they lay their eggs on aquatic vegetation.', 'overall, the southern spreadwing can be identified by its metallic green or brownish-green coloration, the unique spreadwing posture, and the specific features of its appendages and wings.']",Spreadwing blue with extensive dark marks in the top.
Chrysodeixis includens,Lepidoptera,Noctuidae,soybean looper moth,"['chrysodeixis includens, commonly known as the soybean looper or the cotton looper, is a moth species belonging to the family noctuidae. here are some morphological identifying features of chrysodeixis includens:', '1. size: adult moths have a wingspan of approximately 30-40 mm.', '2. color: adults have a distinct silvery or golden y-shaped marking on their forewings, which are usually brown or grayish-brown with some greenish or yellowish shading. the hindwings are lighter in color, often pale brown or cream, with a darker brown border.', '3. body: the body of chrysodeixis includens is relatively slender, with a well-developed proboscis for feeding on nectar.', '4. larvae: the larvae (caterpillars) are green with white longitudinal lines and are characterized by their looping movement, which gives them the name ""looper."" they have three pairs of prolegs (fleshy, stubby legs) instead of the usual five pairs found in most caterpillars, which contributes to their unique movement.', '5. pupa: the pupa is brown and encased in a loosely spun cocoon, often found on the underside of leaves or other plant structures.', ""6. eggs: the eggs are small, round, and pale green, usually laid singly or in small clusters on the host plant's leaves."", ""overall, the most distinctive feature of chrysodeixis includens is the y-shaped marking on the forewings of the adult moth, which helps distinguish it from other similar species. the larvae's looping movement and reduced number of prolegs are also key identifying features.""]","Light green body, white stripes on back and both sides. Front legs can be green or black. Two sets of legs at end of body."
Sparganothis sulfureana,Lepidoptera,Tortricidae,"sparganothis fruitworm moth, blueberry leafroller","['sparganothis sulfureana, also known as the sparganothis fruitworm or the yellow-shouldered moth, is a species of moth in the family tortricidae. here are some morphological identifying features of sparganothis sulfureana:', '1. size: adult moths have a wingspan of about 18-30 mm.', '2. color: the forewings of sparganothis sulfureana are predominantly yellow, with a mix of orange and brown patches, and a few white markings. the hindwings are pale yellow with a slight brownish tint.', '3. pattern: the forewings have a distinct pattern, with irregular brown bands, and white spots or streaks. the pattern may vary among individuals, and some may have more pronounced markings than others.', '4. shape: the wings of sparganothis sulfureana are rounded and somewhat triangular in shape. the forewings are broader than the hindwings.', '5. antennae: the antennae of sparganothis sulfureana are long and slender, with a slight curve.', '6. body: the body of the moth is relatively slim, with a yellowish-brown coloration and a tuft of hairs at the end of the abdomen.', '7. legs: the legs of sparganothis sulfureana are long and slender, with spurs on the hind legs.', '8. larvae: the larvae of sparganothis sulfureana are caterpillars with a yellowish-green or greenish-brown body and a brown head. they also have a series of white or pale yellow longitudinal lines running along their body.', '9. pupae: the pupae of sparganothis sulfureana are brown and enclosed in a silken cocoon, which is usually spun within rolled leaves or other plant material.', 'these features can help in identifying sparganothis sulfureana, but it is important to note that there may be some variation among individuals, and other species in the sparganothis genus may have similar characteristics. expert identification or consultation with an entomologist may be necessary for accurate identification.']",Moth with yellow and reddish brown wings
Diabrotica undecimpunctata,Coleoptera,Chrysomelidae,"Spotted Cucumber Beetle, Southern Corn Rootworm","['diabrotica undecimpunctata, commonly known as the spotted cucumber beetle or the eleven-spotted cucumber beetle, is a species of beetle belonging to the family chrysomelidae. here are some morphological identifying features of this beetle:', '1. size: adult beetles are relatively small, typically measuring between 5 to 7 millimeters in length.', '2. color: adult beetles have a bright yellow or yellow-green body, with 11 black spots on their wing covers (elytra). the spots are arranged in three rows, with four spots in each of the first two rows and three spots in the last row. the head and antennae are also black.', '3. shape: the body of the spotted cucumber beetle is elongated and slightly convex, with a rounded and slightly tapered rear end.', '4. head: the head is relatively small and slightly narrower than the pronotum (the plate-like structure covering the thorax). the eyes are large and black, and the antennae are relatively short and filiform (thread-like).', '5. legs: the legs are black and relatively long, with the femora (thighs) being slightly enlarged. the tibiae (shin-like segments) are slender, and the tarsi (foot-like segments) have five segments.', '6. larvae: the larvae of diabrotica undecimpunctata are white or cream-colored with a brown head capsule, and they measure up to 13 millimeters in length when fully grown. the body is cylindrical, with three pairs of short legs near the head and a characteristic dark plate on the last abdominal segment.', '7. pupae: the pupae are white to cream-colored, with the developing adult features such as the elytra and legs visible through the pupal cuticle.', '8. distribution: diabrotica undecimpunctata is native to north america, and its range extends from canada to mexico.', 'these features can help in identifying the spotted cucumber beetle, diabrotica undecimpunctata, in the field or in a collection.']",Beatle with yellow color and black dots.
Pantala hymenaea,Odonata,Libellulidae,Spot-winged Glider,"['pantala hymenaea, commonly known as the wandering glider or globe skimmer, is a species of dragonfly belonging to the libellulidae family. here are some morphological identifying features of pantala hymenaea:', '1. size: pantala hymenaea is a medium-sized dragonfly, with a body length of about 4.5 cm (1.8 inches) and a wingspan of about 7.5 cm (3 inches).', '2. coloration: the body color of pantala hymenaea is generally yellowish-brown to brownish-orange, with dark brown to black markings on the abdomen. the thorax is also yellowish-brown with dark brown stripes.', '3. eyes: pantala hymenaea has large, compound eyes that are reddish-brown in color. the eyes are close together, almost touching at the top of the head.', '4. wings: the wings of pantala hymenaea are transparent with a yellowish tint and dark brown venation. the wingtips are distinctly pointed, and the hind wings have a broad, brown, basal patch. the wings are also characterized by a small, amber-colored spot (pterostigma) near the leading edge of each wingtip.', '5. abdomen: the abdomen of pantala hymenaea is slender and elongated, consisting of ten segments. the abdomen is yellowish-brown with dark brown to black markings on the dorsal side, especially on the last few segments.', '6. legs: the legs of pantala hymenaea are long and slender, with dark brown to black coloration. the legs are adapted for perching and catching prey in flight.', '7. sexual dimorphism: male and female pantala hymenaea are similar in appearance, but males have a slightly more robust abdomen and more extensive dark markings on the abdomen.', '8. nymphs: pantala hymenaea nymphs (larvae) are aquatic and have a flattened, elongated body with wing pads and long, slender legs. they are light brown to greenish-brown in color, with dark brown markings.', 'overall, the wandering glider can be identified by its medium size, yellowish-brown to brownish-orange coloration, large reddish-brown eyes, transparent wings with a yellow tint and dark brown venation, and slender, elongated abdomen with dark markings.']",Brown dragonfly with brown spot in the hindwings base.
Paleacrita vernata,Lepidoptera,Geometridae,spring cankerworm,"['paleacrita vernata, commonly known as the spring cankerworm, is a moth species found in north america. here are some morphological identifying features of paleacrita vernata:', '1. size: the adult moths are relatively small, with a wingspan of about 20-30 millimeters.', '2. color: paleacrita vernata adult moths have a pale yellowish-green color, with some individuals appearing more grayish.', '3. wings: the forewings of adult moths have a distinct pattern of wavy lines and small dark spots. the hindwings are more uniformly colored, typically without any patterns.', '4. sexual dimorphism: female paleacrita vernata moths are wingless, while males have fully developed wings. females have a more robust, cylindrical body shape, while males have a more slender body.', '5. antennae: males have plumose (feathery) antennae, while females have short, thread-like antennae.', '6. legs: both male and female adults have relatively long legs, with the hind legs being particularly elongated.', '7. larvae: the caterpillars of paleacrita vernata are green with a white stripe along each side of the body. they have a dark head and a dark anal plate.', '8. pupae: the pupae are brown and relatively small, measuring around 10-15 millimeters in length.', '9. eggs: the eggs are oval-shaped and laid in clusters on the bark of host trees. they are initially greenish-yellow but turn a reddish-brown color as they mature.', '10. host plants: paleacrita vernata caterpillars feed on a variety of deciduous trees, including oak, elm, maple, and apple.', 'these features can help in identifying paleacrita vernata moths and their different life stages.']",Grayish moth has some dark lines on the edge and middle of its wings.
Lucanus cervus,Coleoptera,Lucanidae,stag beetle,"['lucanus cervus, also known as the european stag beetle, is a large and distinctive beetle species found in europe. here are some morphological identifying features of lucanus cervus:', '1. size: lucanus cervus is one of the largest beetles in europe, with adult males typically ranging from 35 to 75 mm in length, and females ranging from 30 to 50 mm.', '2. color: adult stag beetles have a dark brown to black coloration, with some individuals displaying a reddish-brown hue.', '3. body shape: the body of lucanus cervus is elongated and somewhat flattened, with a distinct division between the head, thorax, and abdomen.', '4. head: the head of the stag beetle is large and square-shaped, with powerful mandibles (jaws) that are used for fighting and defense.', '5. mandibles: male stag beetles have large, curved mandibles that resemble the antlers of a stag, hence their common name. female stag beetles have smaller, straighter mandibles.', '6. antennae: lucanus cervus has relatively short antennae, consisting of 10 segments, with the last three segments forming a fan-like structure called a lamellate club.', '7. legs: the legs of the stag beetle are robust and adapted for digging, with spines on the tibiae (lower leg segments) and strong tarsal claws.', '8. elytra: the elytra (hardened forewings) of lucanus cervus are thick and heavily sclerotized, providing protection for the delicate hindwings and abdomen. the elytra have a somewhat rough texture and a series of parallel grooves running along their length.', '9. sexual dimorphism: there is significant sexual dimorphism in lucanus cervus, with males being larger and having much larger mandibles than females. females have a more rounded abdomen and smaller mandibles.', '10. larvae: the larvae of lucanus cervus are creamy-white, c-shaped grubs with a brown head and six small legs. they can grow up to 80 mm in length and are found in decaying wood, where they feed on the rotting material.']",Beetle. Dark (Black-reddish). Big mandibles. 
Trichordestra legitima,Lepidoptera,Noctuidae,Striped Garden Caterpillar,"['trichordestra legitima, commonly known as the striped garden caterpillar, is a moth species belonging to the family noctuidae. here are some morphological identifying features of trichordestra legitima:', '1. adult moth:', '   - wingspan: the adult moths have a wingspan of about 30-40 mm.', '   - forewings: they have pale gray to pale brown forewings with a distinct, wavy, white or cream-colored band running across them. there are also various dark markings along the band, including a small black spot near the center.', '   - hindwings: the hindwings are lighter in color, usually pale grayish-white, and sometimes have a faint dark band near the outer margin.', '   - body: the body of the adult moth is typically pale gray, with some dark markings along the dorsum.', '2. larvae (caterpillar):', '   - size: the fully grown caterpillar is about 35-40 mm in length.', '   - color: the body color can vary from brown to grayish-green, with a distinct white or cream-colored stripe running along each side.', '   - head: the head of the caterpillar is brown with dark markings.', '   - prolegs: the caterpillar has five pairs of prolegs, with the last pair being slightly smaller than the others.', '   - hairs: the body of the caterpillar is covered in short, fine hairs.', '3. pupa:', '   - the pupa is brown and is formed in a loosely spun cocoon in the soil.', ""these features can help identify trichordestra legitima in its different life stages. however, it's essential to consider other similar species in the region and consult with experts or use a field guide to confirm the identification.""]",caterpillar. brown body. yellow stipes along side of top of body. red head
Amphimallon solstitiale,Coleoptera,Scarabaeidae,"Summer Chafer, European June Beetle","['amphimallon solstitiale, also known as the summer chafer, is a species of beetle in the family scarabaeidae. here are some morphological identifying features of amphimallon solstitiale:', '1. size: adults are typically 10-14 millimeters in length.', '2. color: the coloration of these beetles is light brown to reddish-brown, with a slightly shiny appearance.', '3. body shape: they have a robust and oval-shaped body, with a convex dorsal surface.', '4. head: the head is relatively small, with short, clubbed antennae. the antennae have three lamellate segments at the tip, which can be fanned out for better sensing. the mouthparts are adapted for chewing.', '5. thorax: the pronotum (the dorsal part of the thorax) is densely covered with short, fine hairs. the scutellum, a small, triangular plate located between the elytra, is visible.', '6. elytra: the elytra are the hardened forewings that cover and protect the hindwings. in the summer chafer, the elytra are covered with fine hairs and have a series of longitudinal ridges, or striae, running along their length.', '7. legs: the legs are relatively short and stout, with the tibiae (lower leg segments) having a row of strong spines on the outer edge. the last segment of the legs, the tarsi, has five segments, with the last segment being elongated.', '8. sexual dimorphism: males and females can be distinguished by the shape of their tibiae. in males, the front tibiae are widened and have a more pronounced row of spines, while females have narrower tibiae with less prominent spines.', '9. larvae: the larvae, known as white grubs, have a c-shaped body with a creamy white color and a brown head. they can grow up to 30 millimeters in length and have three pairs of legs.']",beetle. orange body. black eyes. black line down center wings
Lygus lineolaris,Hemiptera,Miridae,tarnished plant bug,"['lygus lineolaris, also known as the tarnished plant bug, is a small insect that can cause significant damage to various crops. here are some morphological identifying features of lygus lineolaris:', '1. size: adult tarnished plant bugs are about 1/4 inch (6.3 mm) long.', '2. color: they are mottled brown with a yellowish or greenish hue. the coloration helps them blend in with their surroundings.', '3. shape: lygus lineolaris has an oval-shaped body with a somewhat flattened appearance.', '4. wings: adult tarnished plant bugs have two pairs of wings. the front wings, known as hemelytra, are partially leathery and partially membranous. they have a distinctive triangular shape at their base and a clear, membranous tip. the wings are held flat over the body when the bug is at rest.', '5. head: the head of lygus lineolaris is small and somewhat pointed, with large, reddish-brown compound eyes and a short, stout beak used for piercing and sucking plant tissues.', '6. antennae: the antennae are relatively long and slender, with five segments. they are usually held forward when the bug is at rest.', '7. legs: lygus lineolaris has six legs, with the hind legs being somewhat longer and more robust than the others. the legs are adapted for walking and jumping.', '8. nymphs: immature stages, or nymphs, of lygus lineolaris resemble the adults in shape but are smaller and lack wings. they are typically green, with reddish-brown markings and antennae.', ""these features can help in identifying lygus lineolaris in the field, but it's essential to note that some other insects may have a similar appearance. therefore, it's crucial to consider the insect's behavior and host plants when making an identification.""]","Small black bug, yellow markings and short head."
Micromus tasmaniae,Neuroptera,Hemerobiidae,Tasmanian Brown Lacewing,"['micromus tasmaniae, commonly known as the tasmanian lacewing, is an insect in the family hemerobiidae. the following are some morphological identifying features of micromus tasmaniae:', '1. size: micromus tasmaniae is a small insect, with a body length of approximately 6-10 mm.', '2. color: the body color of micromus tasmaniae varies from light brown to dark brown, often with a greenish tinge.', '3. wings: the most distinctive feature of micromus tasmaniae is its delicate, lace-like wings. the wings are transparent with a network of brown veins and are held roof-like over the body when at rest. the wingspan is typically around 12-18 mm.', '4. eyes: micromus tasmaniae has large, compound eyes that are usually brown or black in color.', '5. antennae: the antennae of micromus tasmaniae are long, thin, and thread-like, with many small segments.', '6. mouthparts: micromus tasmaniae has chewing mouthparts, which are adapted for feeding on small insects, such as aphids.', '7. legs: the legs of micromus tasmaniae are slender and relatively long, with small spines on the tibiae and tarsi.', '8. abdomen: the abdomen of micromus tasmaniae is elongated and cylindrical, with a tapered end.', '9. sexual dimorphism: males and females of micromus tasmaniae are similar in appearance, but males tend to be slightly smaller than females and have more slender abdomens.', 'overall, micromus tasmaniae can be identified by its small size, delicate lace-like wings, and slender body. its feeding habits and habitat preferences can also provide clues for identification.']",lacewing. brown wings. brown body. dark brown stripe across wing
Asterocampa clyton,Lepidoptera,Nymphalidae,Tawny Emperor ,"['asterocampa clyton, commonly known as the tawny emperor butterfly, is a species of butterfly belonging to the family nymphalidae. here are some morphological identifying features of asterocampa clyton:', '1. size: the tawny emperor has a wingspan of approximately 1.5 to 2.5 inches (3.8 - 6.3 cm).', '2. coloration: the upper side of the wings is orange-brown with varying shades of brown and tan. the forewings have a darker brown border, and both forewings and hindwings may have small, faint, white spots.', '3. wing shape: the forewings are rounded, while the hindwings have a scalloped edge with small tails.', '4. sexual dimorphism: males and females are similar in appearance, although females tend to be slightly larger and have a more rounded shape to their wings.', '5. underside of wings: the underside of the wings is lighter in color, with a more intricate pattern of brown and tan markings. there may also be a row of small, pale blue spots near the edge of the hindwings.', '6. eyespots: asterocampa clyton lacks the prominent eyespots found in some other species of butterflies, such as the related hackberry emperor (asterocampa celtis).', '7. larval stage: the caterpillars of the tawny emperor are green with a white stripe running along each side of the body. they also have short, branched spines on their back.', '8. host plants: the larvae feed primarily on the leaves of hackberry trees (celtis species), which can help identify the presence of tawny emperor butterflies in a given area.', '9. distribution: the tawny emperor is found in the eastern united states, ranging from new england to florida, and west to texas and oklahoma. they are also found in parts of mexico.']",Moth is reddish orange coloration with black bands and spots.
Pseudosphinx tetrio,Lepidoptera,Sphingidae,"tetrio sphinx, giant gray sphinx, frangipani hornworm,plumeria caterpillar.","['pseudosphinx tetrio, also known as the tetrio sphinx or frangipani hornworm, is a species of moth belonging to the family sphingidae. here are some morphological identifying features of pseudosphinx tetrio:', '1. size: the wingspan of pseudosphinx tetrio ranges from 4.7 to 5.9 inches (12 to 15 cm).', '2. color: adult moths have dark gray to black forewings with a white band running from the base to the apex. the hindwings are black with a broad pink or red median band. the body is also black with a white band on the abdomen.', '3. wing shape: the wings of pseudosphinx tetrio are elongated and triangular, with a slightly hooked apex on the forewings.', '4. caterpillar appearance: the caterpillars of pseudosphinx tetrio are striking in appearance, with a black body covered in bright yellow bands and a reddish-orange head. they also have a distinctive horn-like projection on the rear end, which is a characteristic feature of many sphingid caterpillars.', '5. host plants: pseudosphinx tetrio caterpillars primarily feed on plants in the apocynaceae family, particularly those in the plumeria genus, also known as frangipani.', '6. distribution: this species is found in the tropical and subtropical regions of the americas, from florida and texas in the united states to brazil in south america.', '7. habitat: pseudosphinx tetrio can be found in various habitats, including forests, gardens, and urban areas where their host plants are present.']",brown moth with gray coloring across the wings
Proxys punctulatus,Hemiptera,Pentatomidae,the black stink bug,"['proxys punctulatus, commonly known as the spotted grunter or sharptooth catfish, is a freshwater fish species found in africa. here are some morphological identifying features of proxys punctulatus:', '1. body shape: proxys punctulatus has an elongated, cylindrical body with a slightly compressed posterior region.', '2. size: this species can grow up to 75 cm in length and weigh up to 20 kg.', '3. coloration: the body is generally olive-green to brownish-grey with dark spots scattered across the body and fins. the spots are more prominent in younger fish and may fade as the fish matures.', '4. head: the head is large, slightly flattened, and features a wide, terminal mouth with a pair of long barbels (whisker-like sensory organs) on the upper jaw and two pairs on the lower jaw.', '5. teeth: proxys punctulatus has sharp, conical teeth arranged in rows on both the upper and lower jaws, hence the name ""sharptooth catfish.""', '6. fins: the dorsal fin is long and continuous, with a strong, serrated spine at the front. the anal fin is also long and continuous, extending from the posterior end of the body to the base of the caudal fin. the pectoral fins have a strong, serrated spine, while the small pelvic fins are located ventrally.', '7. scales: unlike many other fish species, proxys punctulatus does not have scales. instead, its body is covered in a layer of mucus, which provides protection against parasites and infections.', '8. lateral line: a well-developed lateral line system is present, running along the side of the body and aiding in the detection of vibrations and movement in the water.', '9. sexual dimorphism: males and females are similar in appearance, but males may have slightly larger fins and a more elongated genital papilla.', 'these features can help in identifying proxys punctulatus from other fish species in its natural habitat.']",stink bug. black body. yellow legs. black stripe on legs. yellow dot center body
Graphocephala atropunctata,Hemiptera,Cicadellidae,The blue-green sharpshooter,"['graphocephala atropunctata, commonly known as the blue-green sharpshooter, is a species of leafhopper in the family cicadellidae. here are some morphological identifying features:', '1. size: graphocephala atropunctata is a small insect, with a body length ranging from 6 to 8 millimeters.', '2. coloration: this species exhibits a vibrant color pattern, with a blue-green head and pronotum (the dorsal plate covering the thorax), and a yellow-green to yellow-brown abdomen. the wings are generally transparent but may have a bluish or greenish tint.', '3. head: the head of g. atropunctata is broad and somewhat flattened, with large, widely spaced compound eyes. between the eyes, there is a small, forward-pointing, cone-shaped structure called the vertex.', '4. antennae: the antennae are short and bristle-like, located between the compound eyes and the vertex.', '5. pronotum: the pronotum is large and covers most of the thorax. it has a distinctive, raised, y-shaped structure in the middle, which is a characteristic feature of leafhoppers in the family cicadellidae.', '6. wings: g. atropunctata has two pairs of wings – the forewings, which are thickened and protective, and the hind wings, which are membranous and used for flying. the wings are held roof-like over the body when at rest.', '7. legs: the legs of g. atropunctata are slender and adapted for jumping. the hind legs are particularly long and powerful, with large, leaf-like structures called tibial spines on the tibiae (the third segment of the insect leg).', '8. abdomen: the abdomen is elongated and somewhat flattened, with a pointed tip. in females, the tip of the abdomen has a pointed ovipositor for laying eggs.', '9. nymphs: immature stages (nymphs) of g. atropunctata are smaller and paler in color than adults, with a more rounded body shape and wing pads instead of fully developed wings.', 'these features can be used to identify graphocephala atropunctata and distinguish it from other leafhopper species. however, it is essential to note that some variation in color and size may occur within the species.']",Bluish green leafhopper with yellow legs
