,Scientific Name,Common Name,Order,Family
719,Dissosteira carolina,"Carolina Locust, Caroline Grasshopper, 
Black-Winged Grasshopper, Road-Duster, 
Quaker",Orthoptera,Acrididae
720,Cercyonis pegala,Common wood-nymph,Lepidoptera,Nymphalidae
721,Tirumala limniace,Blue Tiger,Lepidoptera,Nymphalidae
722,Gryllus bimaculatus,Two-spotted cricket,Orthoptera,Gryllidae
723,Tarache aprica,Exposed Bird Dropping Moth,Lepidoptera,Noctuidae
724,Gryllus pennsylvanicus,fall field cricket,Orthoptera,Gryllidae
725,Pseudozizeeria maha,Pale grass blue,Lepidoptera,Lycaenidae
726,Austrolestes colensonis, blue damselfly,Odonata,Lestidae
727,Lamprosema victoriae,,Lepidoptera,Crambidae
728,Epipaschia superatalis,Dimorphic Macalla Moth,Lepidoptera,Pyralidae
729,Neotibicen superbus,Superb Dog-Day Cicada,Hemiptera,Cicadidae
730,Epicauta pennsylvanica,Black blister beetle ,Coleoptera,Meloidae
731,Euclea incisa,slug caterpillar moth,Lepidoptera,Limacodidae
732,Nacoleia rhoeoalis,,Lepidoptera,Crambidae
733,Biston betularia,Pepper and Salt Geometer,Lepidoptera,Geometridae
734,Acronicta impleta,Yellow-Haired Dagger Moth,Lepidoptera,Noctuidae
735,Cycloneda sanguinea,spotless laybird,Coleoptera,Coccinellidae
736,Phloeodes diabolicus,diabolical ironclad beetle,Coleoptera,Zopheridae
737,Anisota virginiensis,Pink-Striped Oakworm Moth,Lepidoptera,Saturniidae
738,Tortricidia testacea,Warm-chevroned Moth,Lepidoptera,Limacodidae
739,Smerinthus jamaicensis,Twin-spotted sphinx,Lepidoptera,Sphingidae
740,Trigonodes hyppasia,"Triangles, Semi-looper",Lepidoptera,Erebidae
741,Hypolimnas bolina,Varied Eggfly,Lepidoptera,Nymphalidae
742,Hagenius brevistylus,Dragonhunter,Odonata,Gomphidae
743,Apatura ilia,Lesser Purple Emperor,Lepidoptera,Nymphalidae
744,Hypena palparia,"ariegated snout-moth, mottled bomolocha",Lepidoptera,Erebidae
745,Erythromma najas,Red-eyed damselfly,Odonata,Coenagrionidae
746,Oreta rosea,rose hooktip moth,Lepidoptera,Drepanidae
747,Orthodera novaezealandiae,"the New Zealand mantis, the New Zealand praying mantis",Mantodea,Mantidae
748,Phyllogomphoides albrighti,Five-striped Leaftail,Odonata,Gomphidae
749,Calosoma scrutator," fiery searcher,  caterpillar hunter",Coleoptera,Carabidae
750,Spilosoma curvata,Crimson tiger moth,Lepidoptera,Erebidae
751,Polistes canadensis,"Neotropical Red Paper Wasp,Red Paper Wasp",Hymenoptera,Vespidae
752,Erynnis horatius,Horace's duskywing,Lepidoptera,Hesperiidae
753,Hellinsia homodactylus,,Lepidoptera,Pterophoridae
754,Arta statalis,Posturing Arta Moth,Lepidoptera,Pyralidae
755,Lithacodes fasciola,yellow shouldered slug moth,Lepidoptera,Limacodidae
756,Camponotus floridanus,Florida carpenter ant,Hymenoptera,Formicidae
757,Largus californicus,California bordered plant bug,Hemiptera,Largidae
758,Chiasmia emersaria,,Lepidoptera,Geometridae
759,Leptopterna dolabrata,meadow plant bug,Hemiptera,Miridae
760,Melanoplus femurrubrum,Red-legged grasshopper,Orthoptera,Acrididae
761,Agrotis ipsilon,"Dark Sword-Grass, Black Cutworm, 
Greasy Cutworm, Floodplain Cutworm, 
Ipsilon Dart",Lepidoptera,Noctuidae
762,Ascalapha odorata,Black Witch Moth,Lepidoptera,Erebidae
763,Lascoria ambigualis,ambiguous moth,Lepidoptera,Erebidae
764,Rhopalomyia solidaginis,goldenrod bunch gall,Diptera,Cecidomyiidae
765,Hypena bijugalis,"Dimorphic Hypena Moth, Toothed Snout Moth",Lepidoptera,Erebidae
766,Pyrausta orphisalis,"orange mint moth, orange-spotted pyrausta,",Lepidoptera,Crambidae
767,Hyphantria cunea,fall webworm,Lepidoptera,Erebidae
768,Diaethria anna,Anna's Eighty-Eight,Lepidoptera,Nymphalidae
769,Amphimallon solstitiale,"Summer Chafer, European June Beetle",Coleoptera,Scarabaeidae
770,Tetraopes tetrophthalmus,Red Milkweed Beetle,Coleoptera,Cerambycidae
771,Leucania diatrecta,,Lepidoptera,Noctuidae
772,Ligdia adustata,scorched carpet moth,Lepidoptera,Geometridae
773,Spilosoma congrua,agreeable tiger moth,Lepidoptera,Erebidae
774,Zanclognatha pedipilalis,Grayish Zabclognatha Moth,Lepidoptera,Erebidae
775,Melittia cucurbitae,Squarsh Vine Borer,Lepidoptera,Sesiidae
776,Cotinis nitida,Green june beetle,Coleoptera,Scarabaeidae
777,Dysgonia algira,Passenger Moth,Lepidoptera,Erebidae
778,Orthosia gothica,Hebrew Character,Lepidoptera,Noctuidae
779,Idaea dimidiata,single-dotted wave,Lepidoptera,Geometridae
780,Boisea trivittata, boxelder bug,Hemiptera,Rhopalidae
781,Syntomeida epilais,"Polka-dot Wasp Moth, Oleander Moth",Lepidoptera,Erebidae
782,Dasychira chekiangensis,Zhejiang tussock moth,Lepidoptera,Erebidae
783,Ogdoconta cinereola,Common Pinkband,Lepidoptera,Noctuidae
784,Hapithus saltator,Jumping Bush Cricket,Orthoptera,Gryllidae
785,Korscheltellus lupulina,common swift moth,Lepidoptera,Hepialidae
786,Bagrada hilaris,"bagrada bug, painted bug",Hemiptera,Pentatomidae
787,Microstylum morosum,Giant Green-Eyed Robber Flu,Diptera,Asilidae
788,Phyciodes mylitta," the Mylitta crescent, Mylitta crescentspot",Lepidoptera,Nymphalidae
789,Camponotus novaeboracensis,New York carpenter ant,Hymenoptera,Formicidae
790,Ostrinia nubilalis,the European corn worm or European high-flyer,Lepidoptera,Crambidae
791,Urbanus procne, Brown longtail,Lepidoptera,Hesperiidae
792,Pachodynerus erynnis,Red and Black Mason Wasp,Hymenoptera,Vespidae
793,Eristalinus taeniops,band-eyed drone fly,Diptera,Syrphidae
794,Anatrytone logan,Delaware Skipper,Lepidoptera,Hesperiidae
795,Eumenes fraternus,potter wasp,Hymenoptera,Vespidae
796,Celithemis fasciata,banded pennant,Odonata,Libellulidae
797,Polygonia comma,the eastern comma,Lepidoptera,Nymphalidae
798,Suastus gremius,Indian Palm Bob,Lepidoptera,Hesperiidae
799,Bombus hypnorum, New Garden Bumblebee,Hymenoptera,Apidae
800,Clitarchus hookeri,,Phasmida,Phasmatidae
801,Metanema inatomaria,Pale Metanema,Lepidoptera,Geometridae
802,Hemileuca maia,Eastern Buckmoth,Lepidoptera,Saturniidae
803,Pontia daplidice,Bath white,Lepidoptera,Pieridae
804,Pseudagrion microcephalum," blue sprite, blue grass dart",Odonata,Coenagrionidae
805,Trypoxylon politum,Organ Pipe Mud Dauber,Hymenoptera,Crabronidae
806,Pyrausta inornatalis,the inornate pyrausta moth,Lepidoptera,Crambidae
807,Schizura unicornis,"Unicorn Caterpillar (larva), Unicorn Prominent (adult), Variegated Prominent (adult)",Lepidoptera,Notodontidae
808,Bombus griseocollis,brown-belted bumblebee,Hymenoptera,Apidae
809,Brintesia circe,great banded grayling,Lepidoptera,Nymphalidae
810,Necrophila americana,American Carrion Beetle,Coleoptera,Silphidae
811,Diachrysia balluca,Green-Patched Looper,Lepidoptera,Noctuidae
812,Hippotion celerio,"the vine hawk-moth, silver-striped hawk-moth",Lepidoptera,Sphingidae
813,Graphocephala coccinea,"andy-striped leafhopper, red-banded leafhopper, scarlet-and-green leafhopper, red-and-blue leafhopper.",Hemiptera,Cicadellidae
814,Carcharodus alceae,mallow skipper,Lepidoptera,Hesperiidae
815,Phaedyma columella,short-banded sailor butterfly,Lepidoptera,Nymphalidae
816,Chalcolestes viridis,"willow emerald damselfly, western willow spreadwing.",Odonata,Lestidae
817,Chiasmia clathrata,Latticed heath,Lepidoptera,Geometridae
818,Chloraspilates bicoloraria,,Lepidoptera,Geometridae
819,Polyommatus amandus,Amanda's blue,Lepidoptera,Lycaenidae
820,Hesperia comma,"common branded skipper,silver-spotted skipper",Lepidoptera,Hesperiidae
821,Vespula vidua,"Long yellowjacket,Widon Yellowjacket",Hymenoptera,Vespidae
822,Chlosyne lacinia,"Bordered patch, sunflower patch",Lepidoptera,Nymphalidae
823,Phanogomphus spicatus,dusky clubtail,Odonata,Gomphidae
824,Orsotriaena medus,Medus Brown,Lepidoptera,Nymphalidae
825,Platynota exasperatana,exasperating platynota moth,Lepidoptera,Tortricidae
826,Omocestus viridulus,Common Green Grasshopper,Orthoptera,Acrididae
827,Ariadne ariadne,Angled Castor,Lepidoptera,Nymphalidae
828,Adelphocoris lineolatus,"Lucerne Bug, Alfalfa Plant Bug",Hemiptera,Miridae
829,Lycaena xanthoides,"Lucerne Bug, Alfalfa Plant Bug",Lepidoptera,Lycaenidae
830,Epiaeschna heros,Swamp Darner,Odonata,Aeshnidae
831,Libellula fulva,scarce chaser,Odonata,Libellulidae
832,Myzinum quinquecinctum,Five-Banded Thnnid Wasp,Hymenoptera,Thynnidae
833,Lochmaeus bilineata,double-lined prominent moth,Lepidoptera,Notodontidae
834,Hymenia perspectalis,spotted beet webworm moth,Lepidoptera,Crambidae
835,Oecanthus niveus,narrow-winged tree cricket or snowy tree cricket,Orthoptera,Gryllidae
836,Satyrium liparops,Striped hairstreak,Lepidoptera,Lycaenidae
837,Hypolycaena erylus,Common tit,Lepidoptera,Lycaenidae
838,Orchelimum nigripes,"the black-legged meadow katydid, red-legged meadow grasshopper",Orthoptera,Tettigoniidae
839,Papaipema pterisii,Bracken Borer Moth,Lepidoptera,Noctuidae
840,Icaricia lupini,Lupine blue,Lepidoptera,Lycaenidae
841,Pleuroprucha insulsaria,Common tan wave moth,Lepidoptera,Geometridae
842,Lophocampa annulosa,santa ana tussock moth,Lepidoptera,Erebidae
843,Oncocera semirubella,Rosy-striped Knot-horn,Lepidoptera,Pyralidae
844,Trigona fulviventris,"culo-de-vaca, culo-de-señora, mu'ul-kab, culo-de-buey, culo-de-vieja",Hymenoptera,Apidae
845,Ammophila procera,Thread-Waisted Wasp ,Hymenoptera,Sphecidae
846,Elasmostethus interstinctus,Birch Shieldbug,Hemiptera,Acanthosomatidae
847,Austrolestes leda,wandering ringtail,Odonata,Lestidae
848,Episyrphus balteatus,Marmalade Hoverfly,Diptera,Syrphidae
849,Nezara viridula,Southern Green Stink Bug,Hemiptera,Pentatomidae
850,Libellula depressa,broad-bodied chaser,Odonata,Libellulidae
851,Acronicta fallax,The Green Marvel,Lepidoptera,Noctuidae
852,Euproctis chrysorrhoea,brown-tail moth,Lepidoptera,Erebidae
853,Rhagonycha fulva,common red soldier beetle,Coleoptera,Cantharidae
854,Callophrys eryphon,western pine elfin,Lepidoptera,Lycaenidae
855,Paonias excaecata,Blind-eyed Sphinx,Lepidoptera,Sphingidae
856,Calephelis virginiensis, little metalmark,Lepidoptera,Riodinidae
857,Besma quercivoraria,Oak besma,Lepidoptera,Geometridae
858,Cycloneda munda,polished ladybird beetle,Coleoptera,Coccinellidae
859,Pyrochroa serraticornis,"Red-headed Cardinal Beetle,Common Cardinal Beetle",Coleoptera,Pyrochroidae
860,Pieris rapae,cabbage white butterfly,Lepidoptera,Pieridae
861,Cingilia catenaria,Chain dotted geometer moth,Lepidoptera,Geometridae
862,Ochropleura plecta,"	flame-shouldered dart, Flame Shoulder",Lepidoptera,Noctuidae
863,Henosepilachna vigintioctopunctata,28-spotted potato ladybird,Coleoptera,Coccinellidae
864,Panorpa nuptialis,Nuptial Scorpionfly,Mecoptera,Panorpidae
865,Hyalophora euryalus,ceanothus silkmoth,Lepidoptera,Saturniidae
866,Dysdercus cingulatus,Red Cotton Stainer,Hemiptera,Pyrrhocoridae
867,Papilio demoleus,lime swallowtail,Lepidoptera,Papilionidae
868,Acanthocephala femorata,Florida Leaf-footed bug,Hemiptera,Coreidae
869,Agelastica alni,Alder Leaf Beetle,Coleoptera,Chrysomelidae
870,Exomala orientalis,The Oriental beetle,Coleoptera,Scarabaeidae
871,Platynota idaeusalis,tufted apple bud moth,Lepidoptera,Tortricidae
872,Libellula flavida,yellow-sided skimmer,Odonata,Libellulidae
873,Graptopsaltria nigrofuscata,large brown cicada,Hemiptera,Cicadidae
874,Pachysphinx modesta,"the modest sphinx, poplar sphinx",Lepidoptera,Sphingidae
875,Diplacodes haematodes,Scarlet Percher,Odonata,Libellulidae
876,Trithemis festiva,Black Stream Glider,Odonata,Libellulidae
877,Pachylia ficus,Fig sphinx,Lepidoptera,Sphingidae
878,Zanclognatha laevigata,Litter Moth,Lepidoptera,Erebidae
879,Appias libythea,Striped Albatross,Lepidoptera,Pieridae
880,Hemideina thoracica,the Auckland tree wētā or tokoriro,Orthoptera,Anostostomatidae
881,Pogonomyrmex rugosus,rough harvester ant,Hymenoptera,Formicidae
882,Bombus nevadensis,Nevada bumblebee,Hymenoptera,Apidae
883,Polites peckius,Peck's Skipper,Lepidoptera,Hesperiidae
884,Vanessa cardui,Painted Lady,Lepidoptera,Nymphalidae
885,Thesprotia graminis,American Grass Mantis,Mantodea,Thespidae
886,Hyppa xylinoides,"common hyppa, cranberry cutworm",Lepidoptera,Noctuidae
887,Syrbula admirabilis,Admirable Grasshopper,Orthoptera,Acrididae
888,Neotibicen pruinosus,Scissor Grinder,Hemiptera,Cicadidae
889,Pantala flavescens,the Wandering Glider,Odonata,Libellulidae
890,Calephelis nemesis,"fatal metalmark, dusky metalmark",Lepidoptera,Riodinidae
891,Cycnia tenera,dogbane tiger moth,Lepidoptera,Erebidae
892,Probole amicaria,"the friendly probole, redcheeked looper",Lepidoptera,Geometridae
893,Coenonympha tullia,large heath,Lepidoptera,Nymphalidae
894,Epiblema otiosana,Bidens Borer Moth,Lepidoptera,Tortricidae
895,Macromia taeniolata,royal river cruiser,Odonata,Macromiidae
896,Halictus ligatus,,Hymenoptera,Halictidae
897,Diaphania indica,"Cucumber Moth, Cotton Caterpillar",Lepidoptera,Crambidae
898,Apantesis arge,"Arge Moth, Arge Tiger Moth",Lepidoptera,Erebidae
899,Syritta pipiens,Thick-legged Hoverfly,Diptera,Syrphidae
900,Camnula pellucida,"Clear-winged, Warrior grasshopper",Orthoptera,Acrididae
901,Spodoptera ornithogalli,"Yellow-striped Armyworm, Cotton Cutworm",Lepidoptera,Noctuidae
902,Choristoneura rosaceana,"Oblique banded leaf roller, rosaceous 
leaf roller",Lepidoptera,Tortricidae
903,Taeniopoda eques,Western Horse Lubber Grasshopper,Orthoptera,Romaleidae
904,Endothenia hebesana,Verbena Bud Moth,Lepidoptera,Tortricidae
905,Chrysomela scripta,cottonwood leaf beetle,Coleoptera,Chrysomelidae
906,Papilio anactus,Dainty Swallowtail,Lepidoptera,Papilionidae
907,Stauropus fagi,Lobster Moth,Lepidoptera,Notodontidae
908,Erynnis icelus,"dreamy duskywing, aspen dusky wing",Lepidoptera,Hesperiidae
909,Machimia tentoriferella,gold-striped leaftier moth,Lepidoptera,Depressariidae
910,Tanaecia pelea,Malay Viscount,Lepidoptera,Nymphalidae
911,Pieris marginalis,Margined white,Lepidoptera,Pieridae
912,Neurothemis fluctuans,"Red Grasshawk, Common Parasol, Grasshawk Dragonfly",Odonata,Libellulidae
913,Euparthenos nubilis,,Lepidoptera,Erebidae
914,Oligoria maculata,Twin-spot Skipper,Lepidoptera,Hesperiidae
915,Lestes barbarus,southern emerald damselfly,Odonata,Lestidae
916,Orthetrum triangulare,blue-tailed forest hawk,Odonata,Libellulidae
917,Papilio troilus,"spicebush swallowtail, green-clouded butterfly",Lepidoptera,Papilionidae
918,Orthosia incerta,the clouded drab,Lepidoptera,Noctuidae
919,Oncometopia orbona,the broad-headed sharpshooter,Hemiptera,Cicadellidae
920,Galleria mellonella,"greater wax moth, honeycomb moth",Lepidoptera,Pyralidae
921,Hyles euphorbiae,spurge hawkmoth,Lepidoptera,Sphingidae
922,Gluphisia septentrionis,Common Gluphisia,Lepidoptera,Notodontidae
923,Anasa tristis,Squash Bug,Hemiptera,Coreidae
924,Asterocampa leilia,"Empress Leilia, Leilia Hackberry Butterfly, 
Desert Hackberry",Lepidoptera,Nymphalidae
925,Calopteron reticulatum,reticulated net-winged beetle,Coleoptera,Lycidae
926,Sympetrum semicinctum,Band-winged Meadowhawk,Odonata,Libellulidae
927,Actias luna,"Luna Moth, American Moon Moth",Lepidoptera,Saturniidae
928,Iridomyrmex purpureus,Meat ant,Hymenoptera,Formicidae
929,Panthea furcilla,tufted white pine caterpillar,Lepidoptera,Noctuidae
930,Aphylla angustifolia,Broad-Striped Forceptail,Odonata,Gomphidae
931,Cordulia shurtleffii,American emerald,Odonata,Corduliidae
932,Dythemis nigrescens,Black Setwing,Odonata,Libellulidae
933,Synchlora aerata,"Wavy-lined Emerald Moth, Camouflaged Looper",Lepidoptera,Geometridae
934,Lasiommata megera,wall brown butterfly,Lepidoptera,Nymphalidae
935,Anagrapha falcifera,Celery Hooper Moth,Lepidoptera,Noctuidae
936,Colias interior,pink-edged sulphur,Lepidoptera,Pieridae
937,Polistes humilis,"Australian Paper Wasp,Tasmanian Paper Wasp",Hymenoptera,Vespidae
938,Ceriagrion cerinorubellum,"Ornate Coraltail, Damselfly",Odonata,Coenagrionidae
939,Cordulegaster obliqua,Arrowhead spiketail,Odonata,Cordulegastridae
940,Trypocopris vernalis,"Spring Dumbledor, Spring Dor Beetle",Coleoptera,Geotrupidae
941,Erebia aethiops,Scotch Argus,Lepidoptera,Nymphalidae
942,Burnsius orcus,Orcus checkered skipper,Lepidoptera,Hesperiidae
943,Panchlora nivea,Cuban cockroach,Blattodea,Blaberidae
944,Protaetia cuprea,copper chafer,Coleoptera,Scarabaeidae
945,Acrida cinerea,Chinese Grasshopper,Orthoptera,Acrididae
946,Elasmucha grisea,Parent Bug,Hemiptera,Acanthosomatidae
947,Micronia aculeata,Asian Spotted Swallow Tail Moth,Lepidoptera,Uraniidae
948,Trithemis annulata,"Violet Dropwing, Violet-marked Darter, Purple-blushed Darter, Plum-coloured Dropwing",Odonata,Libellulidae
949,Lexias pardalis,common archduke butterfly,Lepidoptera,Nymphalidae
950,Papilio cresphontes,Giant swallowtail,Lepidoptera,Papilionidae
951,Aeshna verticalis,Green-Striped Darner,Odonata,Aeshnidae
952,Prionus californicus,"California Root Borer, Giant Root Borer",Coleoptera,Cerambycidae
953,Dendrobias mandibularis,Long-Jawed Longhorn Beetle,Coleoptera,Cerambycidae
954,Haploa confusa,"confused haploa, Lyman's haploa",Lepidoptera,Erebidae
955,Satyrium calanus,Banded Hairstreak,Lepidoptera,Lycaenidae
956,Cnaphalocrocis medinalis,rice leafroller,Lepidoptera,Crambidae
957,Tetanolita mynesalis,Smoky Tetanolita,Lepidoptera,Erebidae
958,Prosotas nora, the common lineblue,Lepidoptera,Lycaenidae
959,Athetis tarda,Slowpoke Moth,Lepidoptera,Noctuidae
960,Lyssa zampa,tropical swallowtail moth,Lepidoptera,Uraniidae
961,Chortophaga australior,southern green-striped grasshopper,Orthoptera,Acrididae
962,Papilio polytes, the common Mormon,Lepidoptera,Papilionidae
963,Pontania californica,willow apple gall sawfly,Hymenoptera,Tenthredinidae
964,Hemileuca eglanterina,"The sheep moth, common sheep moth",Lepidoptera,Saturniidae
965,Cyrestis thyodamas,common mapwing,Lepidoptera,Nymphalidae
966,Epitheca spinigera,Spiny Basketail,Odonata,Corduliidae
967,Polyommatus coridon,Chalkhill Blue,Lepidoptera,Lycaenidae
968,Pyronia cecilia,Southern gatekeeper,Lepidoptera,Nymphalidae
969,Zygaena filipendulae,Six-spot Burnet,Lepidoptera,Zygaenidae
970,Oncopeltus fasciatus,large milkweed bug,Hemiptera,Lygaeidae
971,Panopoda carneicosta,brown panopoda,Lepidoptera,Erebidae
972,Carabus coriaceus,Procrustes,Coleoptera,Carabidae
973,Polydrusus formosus,green immigrant leaf weevil,Coleoptera,Curculionidae
974,Cordulegaster diastatops,Delta spotted spiketail,Odonata,Cordulegastridae
975,Scythris trivinctella,banded scythris moth,Lepidoptera,Scythrididae
976,Hypselonotus interruptus,,Hemiptera,Coreidae
977,Hamearis lucina,Duke of Burgundy Fritillary,Lepidoptera,Riodinidae
978,Helophilus pendulus,"dangling marsh-lover, sun fly",Diptera,Syrphidae
979,Hygraula nitens," pond moth, Australian water moth",Lepidoptera,Crambidae
980,Melanoplus punctulatus, pine tree spur-throat grasshopper or grizzly spur-throat grasshopper,Orthoptera,Acrididae
981,Neurothemis fulvia,Fulvous Forest Skimmer,Odonata,Libellulidae
982,Lathrecista asiatica,asiatic blood tail,Odonata,Libellulidae
983,Hethemia pistasciaria,Pistachio Emerald Moth,Lepidoptera,Geometridae
984,Hypsopygia costalis,"the gold triangle,clover hay moth",Lepidoptera,Pyralidae
985,Melipotis acontioides,Royal Poinciana Moth,Lepidoptera,Erebidae
986,Zizina labradus,Royal Poinciana Moth,Lepidoptera,Lycaenidae
987,Kricogonia lyside,"lyside sulphur, guayacan sulphur",Lepidoptera,Pieridae
988,Lycaena hippothoe,purple-edged copper,Lepidoptera,Lycaenidae
989,Argyrotaenia velutinana,Red-Banded Leafroller Moth,Lepidoptera,Tortricidae
990,Phanogomphus exilis,lancet clubtail,Odonata,Gomphidae
991,Melipotis jucunda,Merry Melipotis,Lepidoptera,Erebidae
992,Somatochlora tenebrosa, the clamp-tipped emerald,Odonata,Corduliidae
993,Coenagrion resolutum,taiga bluet,Odonata,Coenagrionidae
994,Elymnias hypermnestra,Common Palmfly,Lepidoptera,Nymphalidae
995,Saturnia pyri,"Giant peacock moth, Aristotle's silkworm",Lepidoptera,Saturniidae
996,Trigonospila brevifacies,"Austrailian Leaf-roller Fly, Leafroller Fly",Diptera,Tachinidae
997,Agrotis venerabilis,"Dusky Cutworm, Venerable Dart",Lepidoptera,Noctuidae
998,Coccinella undecimpunctata,eleven-spotted ladybird,Coleoptera,Coccinellidae
999,Ampittia dioscorides,"Bush Hopper, Bush Hopper",Lepidoptera,Hesperiidae
1000,Schistocerca americana,American grasshopper,Orthoptera,Acrididae
1001,Megalodacne heros,Pleasing Fungus Beetle,Coleoptera,Erotylidae
1002,Trichodes alvearius,,Coleoptera,Cleridae
1003,Nyctemera annulata,Magpie Moth,Lepidoptera,Erebidae
1004,Euptoieta claudia,Variegated Fritillary,Lepidoptera,Nymphalidae
1005,Enallagma durum,Big Bluet,Odonata,Coenagrionidae
1006,Epitheca princeps,Prince Baskettail,Odonata,Corduliidae
1007,Rhyparochromus vulgaris,seed bug,Hemiptera,Rhyparochromidae
1008,Carpocoris fuscispinus,Shield Bug,Hemiptera,Pentatomidae
1009,Pyrausta aurata,"Small Purple,mint moth,Small Purple & Gold",Lepidoptera,Crambidae
1010,Lycaena hyllus, Bronze copper,Lepidoptera,Lycaenidae
1011,Emarginea percara,Beloved Emarginea Moth,Lepidoptera,Noctuidae
1012,Melitaea phoebe,Knapweed Fritillary,Lepidoptera,Nymphalidae
1013,Zopherus nodulosus,Iornclad Beetle,Coleoptera,Zopheridae
1014,Megisto rubricata,Iornclad Beetle,Lepidoptera,Nymphalidae
1015,Urania fulgens,"Urania Swallowtail Moth, Green Page Moth",Lepidoptera,Uraniidae
1016,Sphecodina abbottii,Abbott's sphinx,Lepidoptera,Sphingidae
1017,Allagrapha aerea,"Unspotted Lopper Moth, Copper Lopper Moth",Lepidoptera,Noctuidae
1018,Pycnoscelus surinamensis,"The Surinam cockroach, greenhouse cockroach",Blattodea,Blaberidae
1019,Papilio polymnestor,Blue Mormon,Lepidoptera,Papilionidae
1020,Limenitis weidemeyerii,Weidemeyer's admiral,Lepidoptera,Nymphalidae
1021,Nomophila nearctica,"Lucerne Moth, Clover Nomophila, False Webworm, Celery Stalkworm, 
American Celery Webworm",Lepidoptera,Crambidae
1022,Adelpha fessonia,"Band-Celled Sister, Mexican Sister",Lepidoptera,Nymphalidae
1023,Aelia acuminata,"Bishop's Mitre, Wheat Stink Bug",Hemiptera,Pentatomidae
1024,Argynnis adippe,High Brown Fritillary,Lepidoptera,Nymphalidae
1025,Coenagrion pulchellum,"variable damselfly, variable bluet",Odonata,Coenagrionidae
1026,Polistes comanchus,Comanche Paper Wasp,Hymenoptera,Vespidae
1027,Phaulacridium marginale,New Zealand Grasshopper,Orthoptera,Acrididae
1028,Glena quinquelinearia,five-lined gray,Lepidoptera,Geometridae
1029,Euthalia aconthea,the common baron,Lepidoptera,Nymphalidae
1030,Nyctemera baulus,Asian Magpie Moth,Lepidoptera,Erebidae
1031,Paragus haemorrhous,common paragus hoverfly,Diptera,Syrphidae
1032,Belenois creona,common paragus hoverfly,Lepidoptera,Pieridae
1033,Acraea terpsicore,Tawny Coster,Lepidoptera,Nymphalidae
1034,Excultanus excultus,,Hemiptera,Cicadellidae
1035,Iambrix salsala,Chestnut Bob,Lepidoptera,Hesperiidae
1036,Nymphalis californica,California Tortoiseshell,Lepidoptera,Nymphalidae
1037,Brephidium exilis,western pygmy blue,Lepidoptera,Lycaenidae
1038,Pantydia sparsa,,Lepidoptera,Erebidae
1039,Melolontha melolontha,Cockchafer,Coleoptera,Scarabaeidae
1040,Xylocopa micans,Southern carpenter bee,Hymenoptera,Apidae
1041,Eudryas unio,pearly wood-nymph,Lepidoptera,Noctuidae
1042,Astraptes fulgerator,Two-Barred Flasher,Lepidoptera,Hesperiidae
1043,Halone sejuncta,variable halone,Lepidoptera,Erebidae
1044,Phaulacridium vittatum,Wingless Grasshopper,Orthoptera,Acrididae
1045,Palthis asopialis,faint-spotted palthis moth,Lepidoptera,Erebidae
1046,Repipta taurus, the horned assassin bug,Hemiptera,Reduviidae
1047,Ruspolia nitidula,cone-headed grasshopper,Orthoptera,Tettigoniidae
1048,Bombus rufocinctus,red-belted bumblebee,Hymenoptera,Apidae
1049,Macrodactylus subspinosus,rose chafer beetle,Coleoptera,Scarabaeidae
1050,Melissodes bimaculatus,Two-spotted Long Horn Bee,Hymenoptera,Apidae
1051,Trichocnemis spiculatus,Ponderous Borer Beetle,Coleoptera,Cerambycidae
1052,Tachycines asynamorus,"Greenhouse Camel Cricket, Greenhouse Stone Cricket",Orthoptera,Rhaphidophoridae
1053,Myscelia ethusa,"Mexican Bluewing, Blue WIng Butterfly",Lepidoptera,Nymphalidae
1054,Digrammia ocellinata,"Faint-Spotted Angle Moth, Locust Looper",Lepidoptera,Geometridae
1055,Coenonympha arcania,Pearly Heath,Lepidoptera,Nymphalidae
1056,Catocala piatrix,Penitent underwing,Lepidoptera,Erebidae
1057,Lepturobosca chrysocoma,golden-haired flower longhorn,Coleoptera,Cerambycidae
1058,Ischnura ramburii,Rambur's forktail,Odonata,Coenagrionidae
1059,Graphosoma semipunctatum,Red Half-spotted Stink Bug,Hemiptera,Pentatomidae
1060,Acanthocephala terminalis,"Clown Bug, Leaf-footed bug",Hemiptera,Coreidae
1061,Leptura quadrifasciata,longhorn beetle,Coleoptera,Cerambycidae
1062,Agonopterix alstroemeriana,longhorn beetle,Lepidoptera,Depressariidae
1063,Idia americalis,"American idia, American snout",Lepidoptera,Erebidae
1064,Junonia iphita,"chocolate pansy, chocolate soldier",Lepidoptera,Nymphalidae
1065,Aeshna mixta,Migrant Hawker,Odonata,Aeshnidae
1066,Diachrysia aereoides,"Dark-Spotted Looper, Lined Copper Looper",Lepidoptera,Noctuidae
1067,Metcalfa pruinosa,Citrus Flatid Planthopper,Hemiptera,Flatidae
1068,Chrysolina fastuosa,dead-nettle leaf beetle,Coleoptera,Chrysomelidae
1069,Enallagma signatum,Orange Bluet,Odonata,Coenagrionidae
1070,Urbanus dorantes,Orange Bluet,Lepidoptera,Hesperiidae
1071,Marimatha nigrofimbria,Black-bordered Lemon Moth,Lepidoptera,Noctuidae
1072,Melanitis phedima,Dark evening  brown,Lepidoptera,Nymphalidae
1073,Papilio demodocus,"citrus swallowtail,Christmas butterfly",Lepidoptera,Papilionidae
1074,Trithemis aurora,Crimson Marsh Glider,Odonata,Libellulidae
