Scientific.Name,Common.Name,Name,English.Natural.language.captions,Scientific.terminology,ChatGPT,count
Megascolia maculata,Mammoth Wasp,Clayton,"Small black body, yellow spots. Dark yellow wings. Yellow head.",yellow head. black antennae. brown membranous wings. abdomen has three black and two yellow stripes. yellow stripes can look like yellow spots. black fuzzy thorax with two yellow spots on females. small brown hindwings.,"Megascolia maculata is a large species of wasp, measuring up to 4 cm in length. It has a black body with yellow markings on the abdomen and yellow and black stripes on the thorax. Its wings are transparent and its antennae are long and thin. Its legs are black and yellow.",193
Catocala nupta,Red underwing,Clayton,"Moth. Brown and white wings on top, black and orange on bottom. Black pointy thorax.",brown grey forewings. moth. narrow black setaceous antennae. hindwings are black and orange with white margins. forewings have row of black spots on rear margin. brown eyes. brown pointed abdomen.,Catocala nupta is a medium-sized moth with a wingspan of approximately 50-60 mm. The forewings are dark greyish-brown with a white band running along the outer edge. The hindwings are a pale yellowish-brown with a dark brown border. The body is a dark greyish-brown with a white band running along the sides. The antennae are long and thin.,1197
Atalopedes campestris,Sachem,Clayton,Small light orange butterfly. Big black eyes. Short orange antennae.,Orange clavate antennae with black tip. white hair under head and thorax. orange abdomen. orange with sometimes orange black wings. small black band near hindwing margin. large black eyes.,Atalopedes campestris is a small butterfly with a wingspan of about 1.5 inches. The upper side of the wings is a bright orange-brown color with a white band across the middle. The underside of the wings is a duller brown color with white spots. The body is black with white spots on the abdomen. The antennae are black and white.,15688
Spilosoma curvata,Crimson tiger moth,Clayton,"Small orange moth, black spots and swirls on wings. Fuzzy orange and black head.",orange and black whirl striped moth. fuzzy black and orange thorax. orange fuzzy head. black pectinate antennae. black legs. pink abdomen with black spots down middle. pink and black hindwings.,"Spilosoma curvata is a small, hairy moth with a wingspan of about 1.5 inches. Its forewings are yellowish-brown with a curved white line running along the length of the wing. The hindwings are white with a yellowish-brown border. Its body is yellowish-brown with a white stripe running down the middle. Its antennae are white and its legs are yellowish-brown.",810
Clogmia albipunctata,"bathroom moth midge,bathroom moth fly, drain fly",Clayton,"Small moth, fuzzy body. Small black spots on wings. Black and white striped antennae.",large black and white bipectinate antennae. rib striped forewings with very furry hindwings. two black spots on forewings. white spots on margins of forewings. very short abdomen. Very hairy thorax. rounded wing edges.,"Clogmia albipunctata is a small, slender fly with a body length of 1.5-3.5 mm. Its body is black in color, with white spots on its thorax and abdomen. Its wings are clear and have a yellowish tint. Its antennae are short and black. Its legs are black and its eyes are red.",7212
Erynnis baptisiae,wild indigo duskywing,Clayton,Dark brown moth. Light brown and white spots. Black thorax.,dark brown abdomen. black thorax. black eyes. black and white stripped clavate antenna. white wing margins. forewings black and brown with white spots.,Erynnis baptisiae is a small butterfly with a wingspan of about 1.5 inches. Its upper wings are a light brown color with a white band across the middle and a few small black spots. Its lower wings are a pale yellow color with a few small black spots. Its body is a dark brown color with a yellowish-orange abdomen.,4144
Gryllus bimaculatus,Two-spotted cricket,Clayton,Black cricket two brown spots on shoulders. Long skinny antennae.,black or brown legs. two tan spots at thorax wing transition. black head. black thorax. black hemelytra wings. three long points at end of abdomen. central abdomen point thick and longer.,"Gryllus bimaculatus is a species of cricket that is typically found in the United States. It is a medium-sized cricket, measuring about 1.5 cm in length. It has a black body with two distinct white spots on its back. Its wings are brownish-gray in color and its legs are long and thin. Its antennae are long and thin, and its eyes are large and black.",1044
Brenthis daphne,marbled fritillary,Clayton,"Small orange butterfly. White spots on outside of wings, black spots on inside. Antennae have black balls on the end.",Orange and black butterfly. white wing margins. black spots. orange with dull black thorax and abdomen. Orange head. grey black eyes. hind underwing with purple white orange watermarks.,Brenthis daphne is a small butterfly with a wingspan of about 2.5 cm. The upper side of the wings is a dark brown color with a white band running across the middle. The underside of the wings is a light brown color with a pattern of white spots. The body is a light brown color with a white stripe running down the middle.,1204
Citheronia regalis,Regal moth,Clayton,Large orange and gray striped moth. White spots on wings. Orange and white fuzzy head.,Orange and white fuzzy head. white black eyes. grey and orange striped wings. white or cream spots on forewings. one white spot at each wing joint with thorax. grey sometimes light blue stripes. orange with grey spots on hindwings. orange short setaceous antennae.,"Citheronia regalis, commonly known as the regal moth, is a large, showy moth found in the eastern United States and Canada. It has a wingspan of up to 6 inches (15 cm). The forewings are yellowish-orange with a black border and a black and white eyespot near the center. The hindwings are yellowish-orange with a black border and a yellowish-orange eyespot near the center. The body is yellowish-orange with black stripes. The antennae are black and white.",1655
Spodoptera litura,"Tobacco Cutworm, Cotton Leafworm",Clayton,"Black and white speckled caterpillar. White and orange belly. Orange eyes. Two toned moth, light brown on top with white lines. Long yellow thorax.",tan brown moth. white legs. long brown setaceous antennae. white tan hindwings with brown margins. brown tan mottled forewings. brown eyes. caterpillar- orange stripe down back. green or grey sides with black tringle spots.,Spodoptera litura is a small moth species with a wingspan of about 1.5 inches. The wings are yellowish-brown in color with a pattern of dark spots and stripes. The body is yellowish-brown with a dark brown head and thorax. The larvae are greenish-brown in color with a yellowish-brown head and a black stripe running down the back.,1773
Acharia stimulea,Saddleback Caterpillar,Clayton,Brown caterpillar with orange and black spikes. Bright green back with red dot. Dark brown fuzzy moth. Short legs and short antennae.,black caterpillar with orange fuzz. four black spikes on each quadrant of the caterpillar. green middle on back with bright orange spot in middle. brown and grey moth. grey legs. very large thorax and abdomen. small white spots on forewings. white hindwings with brown margins.,"Acharia stimulea is a small, light green caterpillar with a black head and a yellow-orange stripe running down its back. Its body is covered in short, white hairs and it has two black spots on its back. It has six legs and two antennae. Its size ranges from 1/2 to 1 inch in length.",2282
Phyciodes cocyta,The Northern Crescent,Clayton,Small orange and brown butterfly. Black thorax. White and black striped antennae with black balls on ends.,"brown or black head, thorax, and abdomen. butterfly. black and white striped clavate antennae with orange tip. black and orange wings. orange mostly in middle of wing with black swirls closer to thorax. black margins with black spots and black rings on hindwings.",Phyciodes cocyta is a medium-sized butterfly with a wingspan of approximately 2.5 inches. The upper side of the wings is a bright orange-red color with a black border and white spots. The underside of the wings is a pale yellow-orange color with a black border and white spots. The antennae are black and white. The caterpillar is green with black and white stripes.,6279
Speyeria callippe,callippe fritillary,Clayton,"Small butterfly. Orange, black and white spots. Brown fuzzy thorax.",fuzzy thorax and abdomen. orange wings with black stripes black spots near margins of wings. black triangle rings on wing margins. some have white in black triangles on margins. black eyes.,Speyeria callippe is a medium-sized butterfly with a wingspan of approximately 2.5 inches. The upper side of the wings is a bright orange-brown color with black spots and a white fringe. The underside of the wings is a pale yellow-brown color with a pattern of black and white spots. The body is black with white spots and a yellow-orange band on the abdomen.,922
Korscheltellus lupulina,common swift moth,Clayton,Small light brown moth. White stripes. Fuzzy head. Short antennae.,Rust orange moth. white sections along inner middle and lower middle of forewing. white legs. very fuzzy thorax and head. black eyes. short pectinate antennae.,"Korscheltellus lupulina is a small, black, jumping spider that is typically found in North America. It has a round, glossy abdomen and a dark brown carapace. Its legs are long and thin, and its eyes are large and black. Its chelicerae are yellowish-brown and its palps are yellowish-orange. Its body is covered in short, white hairs.",1385
Copaeodes minima,Southern skipperling,Clayton,Small orange butterfly. Big black eyes. Black ombre on the wings.,"Bright orange. Black shading on top of forewings. Wings pale orange both above and below. Upper side of male forewing has narrow, short black stigma; female forewing may have narrow black edging. Underside hindwing white stripe running from base to outer margin. Large black eyes. White under head. White bottom abdomen.",Copaeodes minima is a small butterfly species with a wingspan of approximately 1.5 inches. The upper side of the wings is a bright orange color with a black border and a white spot near the tip of the forewing. The underside of the wings is a pale yellow-orange color with a black border and a white spot near the tip of the forewing. The body is black with a yellow-orange band on the abdomen.,1802
Clepsis peritana,"Garden tortrix, strawberry garden tortrix",Clayton,Tan moth. Long wings. Blackish brown stripes and two black dots on the wings.,Brown moth. Dark brown V shaped stripe in middle forewings. on brown spot on outer edge of each forewing. large white midleg.,Clepsis peritana is a small moth species with a wingspan of about 10-15 mm. The forewings are a pale yellowish-brown color with a darker brown pattern of spots and lines. The hindwings are a pale yellowish-brown color with a darker brown pattern of spots and lines. The body is a light brown color with a darker brown pattern of spots and lines. The antennae are long and thin.,2248
Xylotrechus colonus,Rustic Borer,Clayton,Black and tanned striped beetle. Pointy thorax. Light brown head.,Filiform antennae. brown head. black eyes. large black legs near body with narrow brown legs near feet. thick black and brown stripes on elytra forewings. white and brown or black stripes on abdomen.,"Xylotrechus colonus is a species of beetle in the family Cerambycidae. It is a large beetle, measuring up to 25 mm in length. Its body is black and glossy, with a yellowish-brown head and pronotum. Its antennae are long and slender, and its legs are yellowish-brown. Its elytra are covered in short, yellowish-brown hairs.",1019
Celastrina echo,Pacific Azure,Clayton,Light blue butterfly. Fuzzy edges on the wings. Fuzzy thorax. Black and white striped antennae.,Chalky pale blue gray beneath with small black spots or dashes. Submarginal row of inward pointing triangular marks. Males are a pale chalky blue above. black and white striped capitate antennae. butterfly. white frilled margins on outer edges of wings. black abdomen with white hairs.,"Celastrina echo is a small butterfly species with a wingspan of about 1.5 inches. The upper side of the wings is a bright, iridescent blue with a black border and white spots. The underside of the wings is a pale grayish-brown with a white band and black spots. The body is black with white spots.",5475
Euploea core,"the common crow,common Indian crow,Australian crow",Clayton,Dark brown butterfly. White spots on the edge of wings and on thorax.,black thorax with bright white spots. Brown-orange wings with two rows of white spots on outer margins of wings. black legs. some small white spots in middle of wings.,"Euploea core is a large, black butterfly with a wingspan of up to 8 cm. The upper side of the wings is black with a white band running across the middle and a row of white spots along the edges. The underside of the wings is a dark brown with a white band and a row of white spots. The body is black with white spots on the abdomen.",3038
Papilio paris,Paris peacock,Clayton,Large black butterfly. Bright blue spots on the bottom wings. Two droops on the bottom wings.,Black butterfly with bright blue shimmery spot on each hindwing. capitate antennae. large bulbus projection at rear of hindwing.,Papilio paris is a medium-sized butterfly with a wingspan of about 5-7 cm. The upper side of the wings is black with a white band and a yellowish-orange patch near the apex of the forewing. The underside of the wings is yellowish-orange with black spots and a white band. The body is black with yellowish-orange markings.,1084
Monochamus clamator,Spotted Pine Sawyer,Clayton,Small black beetle. White speckles on. Extremely long antennae.,black and white speckled head. beetle. long setaceous antennae. antennae as long as body. black and white stripes on antennae. black and white speckled elytra forewing.,"Monochamus clamator is a large beetle species, measuring up to 25mm in length. It has a black body with white markings on its elytra, and its antennae are long and thin. Its legs are black and its head is slightly darker than its body. Its eyes are large and its mandibles are long and curved.",619
Calycopis isobeon,Dusky-blue Groundstreak,Clayton,Light gray butterfly. Black head. Small orange and white zig zag lines on wings.,Two tails on the hindwing. Underside of both wings gray-brown. inner edge of postmedian line bordered narrowly with red-orange. Underside of hindwing has eyespot at lower apex with equal amounts of orange and black. orange black and white triangular pattern on underwing. black and white striped capitate antenna with orange tip.,Calycopis isobeon is a small butterfly species with a wingspan of about 1.5 inches. The upper side of the wings is a dark brown color with a white band running across the middle. The underside of the wings is a light brown color with a white band running across the middle. The body is black with white spots on the abdomen.,1743
Argia fumipennis,Variable Dancer,Clayton,Light purple or brown. Purple ones have blue tipped thorax.,blue or brown damselfly. segmented abdomen with blue or brown color and black triangle spots at the end of each segment. solid blue or brown end of abdomen. blue or brown eyes. membranous transparent wings with dark spot on rear edge.,"Argia fumipennis is a small, slender damselfly with a length of about 2.5 cm. Its body is black with a blue-green iridescence. Its eyes are black and its wings are transparent with a smoky gray tint. The male has a blue-green thorax and abdomen with a black stripe running down the center. The female is similar in color but has a yellowish-brown stripe down the center of the abdomen.",6047
Moodna ostrinella,Darker Moodna Moth,Clayton,"Skinny brown moth. Thin white stripe along back, large black stripe underneath. Mid-length antennae.",setaceous antennae. brown head. black eyes. brown forewings with white strip in middle followed by thick black band and brown margin. powdery scales.,"Moodna ostrinella is a small, light-brown moth with a wingspan of about 1.5 cm. Its wings are marked with a distinctive pattern of dark brown and white stripes, and its body is covered in short, light-brown hairs. Its antennae are long and thin, and its legs are short and stubby.",485
Enallagma cyathigerum,Common Blue Damselfly,Clayton,Bright blue and black striped dragonfly. Black and blue eyes.,Black and blue striped damselfly. top of eyes black bottom of eyes blue. transparent membranous wings with small black spot on outer margin. black wings. wide bands of blue and black abdomen. blue and black striped thorax.,"Enallagma cyathigerum is a small, slender damselfly with a length of about 2.5 cm. It has a black thorax with a blue-green metallic sheen, and a black abdomen with a blue-green metallic sheen. The wings are clear with a black pterostigma. The eyes are black and the legs are black. The male has a blue-green thorax and a black abdomen with a blue-green metallic sheen. The female is similar in coloration, but has a brownish-black thorax and a black abdomen with a blue-green metallic sheen.",6768
Prionus coriarius,"the tanner, the sawyer",Clayton,Black or blackish brown beetle. Short and curved saw tooth antennae.,prominent large Serrate antennae. black beetle. black head. black thorax. black elytra forewings. neck shield bears three distinct teeth on each side.,"Prionus coriarius is a large, dark-colored beetle with a long, cylindrical body. It has a reddish-brown head and thorax, and its wing covers are a dark brown or black color. Its antennae are long and serrated, and its legs are reddish-brown. Its body is covered in short, stiff hairs. It can reach up to 2 inches in length.",1801
Lethe portlandia,southern pearly eye,Clayton,Light brown moth. Big black dots along wings. Light orange line along edge of wings.,upper side brown with dark eyespots at the margins. underside light brown. 4 spots on the forewing slightly curved. brown line inside spot row straight or zigzagged. Spots are encircled by soft white. Antennal clubs are orange. White legs. white and black striped eyes.,"Lethe portlandia is a species of butterfly found in the Pacific Northwest of North America. It is a medium-sized butterfly, with a wingspan of approximately 2.5 inches. The upper side of the wings is a dark brown color, with a white band running along the outer edge. The underside of the wings is a pale yellow-green color, with a white band along the outer edge. The body is a light brown color, with a white stripe running along the top.",606
Feniseca tarquinius,harvester,Clayton,Orange and white butterfly. Dark orange spots.,"Upper side has black spots and orange-brown areas surrounded by black. Underside hindwing is orange-brown to orange-purple with small, faint white circles. Bland and white striped antennae. white furry underside of thorax and abdomen. black eyes. underwing white scales blended with orange. inside white rings is darker orange.","Feniseca tarquinius is a small, dark-colored butterfly with a wingspan of approximately 1.5 inches. The upper side of the wings is a dark brown color with a white band running along the outer edge. The underside of the wings is a lighter brown color with a white band and a series of small black spots. The body is black with white spots on the abdomen.",890
Lithacodes fasciola,yellow shouldered slug moth,Clayton,"Small chunky caterpillar. Bright green with yellow line along back. Fuzzy, orange moth, brown and white stripe along back.",orange moth. white stripe with black band in middle forewing. black eyes. orange setaceous antennae. small green caterpillar with two yellow stripes down back. black spikes along yellow stripes on caterpillar.,"Lithacodes fasciola is a small, slender moth with a wingspan of about 1.5 cm. The forewings are light grayish-brown with a dark brown band running along the outer edge. The hindwings are white with a dark brown band along the outer edge. The body is light grayish-brown with a dark brown stripe running along the back. The antennae are short and thread-like.",1822
Cigaritis vulcanus,common silverline,Clayton,"Butterfly. Bottom half is brown with orange lines along first half of wings. White and brown striped thorax. Top half is white and orange striped. Orange head, black eyes.",vibrant black orange and white stripes on underside wings. upper side black with orange stripes on forewing. upper side hindwing black with orange lower margin. two black tails with white tips on each hindwing. Antennae black with white segmental dots. club with a red tip,Cigaritis vulcanus is a small butterfly species with a wingspan of about 2.5 cm. The upper side of the wings is a dark brown color with a yellowish-orange band running along the edges. The underside of the wings is a lighter brown color with a white band running along the edges. The antennae are black and the body is a light brown color.,636
Polia nimbosa,stormy arches,Clayton,White and black spotted moth. black arch pattern.,Black and white moth. black and white striped legs. tan hindwings with white margins. tan abdomen. black and white mottling on wings. darker black area on outer middle of forewing. arch like black and white stripes.,Polia nimbosa is a small moth species with a wingspan of about 15-20 mm. The forewings are a light brown color with a dark brown pattern of spots and lines. The hindwings are a pale yellowish-brown color. The body is a dark brown color with a yellowish-brown head and thorax.,413
Celithemis elisa,calico pennant,Clayton,"Small dragonfly, Wings have big black dots on edges. Orange and black striped thorax. Big red eyes.",black abdomen with orange tringles on each segment. membranous wings with orange leading edge and three black spots on leading edge. hindwing with large black spots near abdomen. black orange eyes. orange and black striped thorax.,Celithemis elisa is a small dragonfly species with a wingspan of about 2.5 cm. It has a bright red abdomen with black markings and a yellow thorax. The wings are transparent with a black border and a yellow spot near the base. The eyes are large and black. The legs are black and the antennae are short.,6369
Feltia herilis,"the herald dart, Master's dart,",Clayton,Dark brown moth. Tan swirls on wings. Two tan lines in the middle of wings.,brown moth. black and tan cape in the middle of forewings. long setaceous antennae. brown connections of wings to thorax. tan spot within black tringle shaped pattern in forewing. tan rear margin on forewing. tan hindwing. tan abdomen.,Feltia herilis is a small moth with a wingspan of about 1.5 inches. Its forewings are a light grayish-brown color with a dark brown band running across the middle. The hindwings are a pale yellowish-brown color. Its body is a light grayish-brown color with a yellowish-brown head and thorax. Its antennae are short and thread-like.,1566
Limenitis camilla,white admiral,Clayton,Top is dark brown butterfly. Large white spots. Small white dots along edge of wings. Bottom is light blue white and orange. Black dots on orange.,black butterfly. upper side with white stripe in middle of fore and hindwings. lower side orange and white with black spots. blue lower abdomen and thorax. black upper abdomen and thorax. black eyes. black antennae with yellow club tips.,"Limenitis camilla is a medium-sized butterfly with a wingspan of approximately 3 inches. The upper side of the wings is a deep, iridescent blue with a black border and white spots. The underside of the wings is a pale grayish-brown with a white band and black spots. The body is black with white spots and a yellowish-orange band on the abdomen.",1846
Romalea microptera,"eastern lubber grasshopper, Florida lubber, Florida lubber grasshopper",Clayton,Orange and yellow grasshopper with black lines on thorax or black grasshopper with yellow striped thorax.,"mostly yellow or tawny. black on the distal portion of the antennae. black on the pronotum, black on the abdominal segments. The forewings extend two-thirds to three-fourths the length of the abdomen. sometimes predominantly black with small yellow stripes.","Romalea microptera is a species of grasshopper native to the southeastern United States. It is a medium-sized grasshopper, typically ranging from 1.5 to 2.5 inches in length. Its body is a mottled gray-brown color, with a yellowish-brown head and thorax. Its wings are a pale yellowish-brown color, and its legs are a darker brown. Its antennae are long and thin, and its eyes are large and black.",7277
Traminda aventiaria,Cross-line Wave Moth,Clayton,"Moth shaped like a leaf. Green on top. Yellow line across. Could be tan on top, with brown stripe across.",green or tan moth. looks like a leaf. black eye spots in middle of forewing. yellow and light brown straight stripe through middle of fore and hindwings. two sharp points on forewing. one sharp point on lower hindwing. brown wing margins.,"Traminda aventiaria is a small, slender species of moth with a wingspan of about 1.5 inches. Its wings are a pale yellowish-brown color, with a darker brown pattern of stripes and spots. Its body is a light brown color, and its antennae are long and thin. Its legs are also long and thin, and its head is small and round.",933
Acrida ungarica,"Cone-Headed Grasshopper, Nosed grasshopper, Mediterranean Slant-Faced Grasshopper",Clayton,Green skinny grasshopper. Head tilts upward. Orange lines across whole body.,green or brown with grasshopper with orange eyes. thin long hindlegs. tegmina green or brown wings running the length of the body. spiked cone like head with eyes at top of spikes. short foreleg and midleg. horn like antennae.,"Acrida ungarica is a species of grasshopper that is typically found in Central and Eastern Europe. It is a medium-sized grasshopper, measuring between 1.5 and 2.5 cm in length. It has a yellowish-brown body with a black stripe running down its back. Its wings are yellowish-brown with black spots. Its legs are yellowish-brown with black stripes. Its antennae are long and thin.",1003
Myodocha serripes,Long-Necked Seed Bug,Clayton,long necked black bug. orange legs. orange and black antennae.,black head bug. long neck head. black thorax. concave or convex hemelytra forewings. black and brown stripes at end of forewings. orange filiform antenna with black tips. thick forelegs with narrow midline and hindleg.,"Myodocha serripes is a small, slender species of beetle. It is black in color with a glossy sheen and has a long, narrow body. Its head is small and rounded, and its antennae are long and thin. Its legs are long and spindly, and its wings are short and rounded. Its abdomen is long and tapered, and its elytra are short and serrated.",3170
Megisto cymela,Little Wood Satyr,Clayton,brown butterfly with 6 large eyespots.,brown butterfly. large black eyespots with white rings. white margins on upper hindwings. underside golden brown with two brown stripes mid-wing. six large black eyespots with white specks inside. black bands on rear margin underwings.,Megisto cymela is a small butterfly with a wingspan of about 1.5 inches. Its upper wings are a bright orange-red color with a black border and a white spot near the center. Its lower wings are a pale yellow-orange color with a black border and a white spot near the center. Its body is black with white spots.,7528
Ctenucha virginica,Virginia ctenucha,Clayton,black moth with blue thorax and orange head.,black pectinate antennae. shiny blue thorax and abdomen. orange head. black eyes. solid black forewings. sometimes white tipped margins on forewings.,Ctenucha virginica is a medium-sized moth with a wingspan of about 2.5 inches. Its wings are a bright metallic blue-green color with a black border and a yellow-orange band near the tips. The body is black with a yellow-orange band across the abdomen. The antennae are long and thread-like. The legs are black and the feet are yellow.,7366
Cotesia congregata,"parasitoid wasp, cotesia wasp",Clayton,small wasp with thin legs. long antennae. black or dark wings.,"long thin filiform antenna. tan legs. often dark membranous wings. black head, black thorax. black abdomen. wasp like body.","Cotesia congregata is a small, black and white wasp with a length of about 5-7 mm. Its body is slender and cylindrical, and its wings are transparent. Its head is black with white markings, and its antennae are black and white. Its legs are black and white, and its abdomen is black with white spots.",810
Euphydryas chalcedona,Variable Checkerspot,Clayton,black white and orange butterfly. bright orange antennae.,"Extremely variable. Forewing narrow. Upper side is black to dark orange-brown with yellow, red, and sometimes white spots. Underside with yellow and orange-red bands. orange antennae with bright orange capitate club. orange and black margins on wings. orange connection to thorax on forewing.",Euphydryas chalcedona is a species of butterfly found in Europe and North Africa. It is a medium-sized butterfly with a wingspan of about 3.5 cm. The upper side of the wings is a bright orange-red color with black spots and a white border. The underside of the wings is a duller orange-brown color with a white border and black spots. The caterpillar is black with yellow stripes and a yellow head.,5953
Ponometia semiflava,"Yellow-cloaked Midget, The Half-Yellow",Clayton,Orange and brown moth. big brown eyes. long brown antennae,"long brown setaceous antennae. front orange and back brown forewings. brown or tan hindwings with frilled margins. dark brown black eyes. Thorax and basal area of forewing solid yellow. Rest of forewing brown, sometimes with violet tinge. Hindwing shiny light yellowish to grayish brown.",Ponometia semiflava is a small moth with a wingspan of about 1.2 cm. Its forewings are yellowish-brown with a dark brown band running along the outer edge. The hindwings are white with a yellowish-brown band along the outer edge. Its antennae are short and thread-like. Its body is yellowish-brown with a dark brown head and thorax.,580
Eantis tamenund,Northern Sicklewing,Clayton,Light brown or dark purple butterfly. Light orange and light purple speckles. Thick brown thorax.,"pointed forewing with shallow indentation below apex. Upper side of male is dark brown purple sheen pale brown spots. female brown bands of square blue-gray or olive-gray spots. Brown abdomen. brown head, brown thorax. black eyes. club capitate antennae.","Eantis tamenund is a small, slender butterfly with a wingspan of about 1.5 inches. Its upper wings are a bright orange-red color, while its lower wings are a pale yellow. Its body is black with white spots, and its antennae are black and white. Its eyes are black and its legs are black and white.",1404
Gryllodes sigillatus,tropical house cricket,Clayton,Light tan cricket. Dark brown stripes on thorax. Black eyes. Long antennae.,tan cricket with dark brown spots on abdomen. two dark brown stripes on thorax. black eyes. two tails at end of abdomen. very long setaceous antennae the length of the body. tan legs.,Gryllodes sigillatus is a species of cricket that is typically brown in color with a black stripe running down its back. It has long antennae and a pair of wings that are used for flying. Its body is slender and its legs are long and thin. Its head is small and its eyes are large. Its wings are transparent and its abdomen is covered in small black spots.,2786
Ourapteryx sambucaria,Swallow-tailed moth,Clayton,Light greenish yellow moth. Four long brown stripes down wings.,Light yellow or white moth. short tails at rear of hindwings. four orange stripes on wings. black eyes. dark spots on tails. light yellow head. light yellow thorax. yellow antennae with black tips.,Ourapteryx sambucaria is a medium-sized moth with a wingspan of about 40-50 mm. The forewings are a pale yellowish-brown color with a darker brown pattern of wavy lines and spots. The hindwings are a darker brown color with a pale yellowish-brown fringe. The body is a pale yellowish-brown color with a darker brown head and thorax.,733
Catocala maestosa,Sad underwing,Clayton,Moth. Black and white speckles on top of wings. arch patterns. Dark brown on bottom.,white and brown moth with brown arch patterns upper forewing. dark brown upper hindwing. small orange eye spots near brown band on upper forewing. Black and white bands on lower wings. brown grey abdomen with white stripes at joints. black grey thorax.,Catocala maestosa is a medium-sized moth with a wingspan of approximately 4.5 cm. The forewings are dark brown with a white band running across the middle. The hindwings are a pale yellowish-brown color. The body is a dark brown color with a white stripe running down the middle. The antennae are long and thin.,1531
Atta cephalotes,leaf cutting ant,Clayton,Brownish red ant. Large mandible.,brown-orange sometimes dark red ant with large orange mandibles. very large head. pointed abdomen. filiform antennae.,"Atta cephalotes is a species of leaf-cutter ant found in tropical and subtropical regions of Central and South America. It is a large ant, measuring up to 1.5 inches (3.8 cm) in length. Its body is black and shiny, with a reddish-brown head and thorax. Its mandibles are large and powerful, and its antennae are long and thin. Its legs are long and spiny, and its abdomen is rounded.",651
Cyllopsis gemma,Gemmed satyr,Clayton,"Light brown butterfly. Brown veins. White circle, black dots on bottom of wing.","small brown butterfly with three dark brown bands on underwings. under hindwing has a set of four dark spots surrounded by light grey, white, and black speckles. upper wings lack eyespots. Underside of hindwing has a silvery patch at the outer margin which contains 4 black reflective spots.","Cyllopsis gemma is a small, slender species of fish that grows to a maximum length of about 4 inches. It has a long, slender body with a pointed snout and a forked tail. Its coloration is typically a light brown or tan with darker brown or black spots and stripes. Its fins are typically yellowish-brown in color.",1019
Hypsopygia binodulalis,Pink-fringed Dolichomia Moth,Clayton,Light grey or brown moth. two tan lines across wings. Large light thorax.,grey and black speckled wings. two tan stripes on wings. pink triangles leading to stripes on forewing margins. large black eyes. rear pointing setaceous antennae. grey speckled abdomen.,Hypsopygia binodulalis is a small moth with a wingspan of about 12-14 mm. Its forewings are a pale yellowish-brown color with a few darker brown markings. The hindwings are a pale yellowish-brown color with a darker brown margin. Its head is yellowish-brown with a dark brown stripe running down the middle. Its antennae are short and thread-like. Its body is yellowish-brown with a dark brown stripe running down the middle.,527
Brunia antica,Brunia moth,Clayton,Dark grey moth. Long body. Orange lining around body.,black or dark grey moth with brown orange margins on forewings. short black legs. black eyes. tan orange head. fore wings completely fold over each other to narrowly cover abdomen. very narrow shape. light tan hindwings.,"Brunia antica is a small, evergreen shrub that grows up to 1.5 meters in height. It has a dense, rounded habit and its leaves are small, oval-shaped, and dark green in color. The flowers are small, white, and star-shaped, and they appear in clusters at the ends of the branches. The fruit is a small, round, black berry.",397
Echinargus isola,Reakirt's Blue,Clayton,Light grey butterfly. Black circles and white squares on wings.,Upper side male light blue with darker veins and dusky border. female darker. Underside of forewing with postmedian row of 5 round black spots circled with white. white frilled hind margins. black eyes. white abdomen. black and white striped antennae with black club capitate. butterfly.,"Echinargus isola is a small, round sea urchin species that typically grows to a diameter of about 1.5 inches (3.8 cm). It has a dark brown to black body with a pattern of white spines radiating from the center. The spines are short and blunt, and the body is covered in small, white tubercles. The underside of the urchin is flat and has a single, large, central mouth surrounded by five teeth.",6409
Argynnis hyperbius,Indian Fritillary,Clayton,Bright orange butterfly. Covered in black dots. Small white dashes on bottom of wings.,orange butterfly with black spots. rear hindwing margin with black and white stripes. serrated short tails on hindwing. black capitate antennae. orange abdomen. dusty black orange thorax. orange head. underside lighter orange tan with five eyespots on hindwing.,Argynnis hyperbius is a medium-sized butterfly with a wingspan of approximately 3.5-4.5 cm. The upper side of the wings is a bright orange-red color with black spots and a white border. The underside of the wings is a duller orange-brown color with a white border and black spots. The antennae are black with a white tip.,1525
Lebadea martha,knight butterfly,Clayton,Dark orange butterfly black dots and dashes all over. White stipe across both wings.,orange butterfly. black and white arches. large white band spanning in v shape across wings. orange body orange eyes. black antennae with white club. rounded rear hindwings. underside white body. white fates from thorax to wings blending to black rear of underwings.,"Lebadea martha is a small, slender species of moth with a wingspan of approximately 1.5 cm. Its wings are a pale yellowish-brown color, with a darker brown pattern of spots and stripes. Its body is a light brown color, and its antennae are long and thin. Its legs are short and thin, and its head is small and round.",542
Erynnis tages,The Dingy Skipper,Clayton,Dark brown butterfly. White spots on top half of wings. Fuzzy brown thorax.,brown butterfly. large black eyes. dark brown abdomen blending to dark brown hindwings. white margins with white spots near margins on hind and forewings. brown and white stripped antennae with white club capitate. gray-brown wing coloration marbling upper side of the forewings.,Erynnis tages is a small butterfly with a wingspan of about 2.5 cm. The upper side of the wings is a light brown color with a white band running across the middle. The underside of the wings is a pale yellow-green color with a pattern of black spots. The antennae are black and the body is a dark brown color.,1848
